zip_code,listings,avg_price,median_price
78746,175,341.22,277.0
78733,68,290.74,243.0
78732,54,276.17,203.0
78734,298,270.12,207.0
78701,900,241.68,211.0
78731,85,233.86,140.0
78737,144,233.81,167.0
78704,1500,217.92,146.0
78703,463,213.61,160.0
78702,1208,206.87,146.0
78721,308,176.53,125.5
78749,94,173.86,145.0
78722,168,173.21,131.0
78745,597,158.4,122.0
78747,88,154.74,119.5
78759,129,153.69,105.5
78748,149,153.22,127.0
78741,566,151.44,102.0
78723,375,148.01,112.0
78757,201,145.13,107.0
78729,132,143.28,112.0
78756,145,143.22,108.5
78754,130,135.69,121.5
78744,364,133.92,96.0
78725,70,132.35,119.0
78758,350,130.27,111.0
78724,170,127.51,100.0
78705,353,121.96,91.0
78752,198,115.62,90.0
78753,199,113.99,88.0
78727,129,112.79,94.0
78751,329,112.42,88.0
78728,81,107.58,104.0
